Weeks in office,Biden,Bush,Clinton,Obama,Trump
115,-8.87142857142857,42.9,5.8,-0.442857142857143,-8.47142857142857
116,-8.67142857142857,40,6.25,-1.61428571428571,-8.97142857142857
117,-10.8,36.2,6.7,-3.57142857142857,-8.91428571428571
118,-10.7,34.8,6.2,-2.42857142857143,-9.64285714285714
119,-10.5857142857143,33.4,5.7,8.37142857142857,-8.55714285714286
120,-11.1,31.8,5.2,9.1,-7.58571428571428
121,-12.2428571428571,30.2,4.73333333333333,8.97142857142857,-10.3285714285714
122,-13.4142857142857,29.4,4.26666666666667,9.38571428571428,-11.0571428571429
123,-14.0285714285714,28.6,3.8,7.11428571428571,-9.78571428571429
124,-13.0142857142857,26.4,3.72,2.27142857142857,-8.71428571428572
125,-13.1714285714286,24.8,3.64,1.11428571428572,-8.77142857142857
126,-11.1571428571429,24.2,3.56,0.614285714285714,-7.47142857142857
127,-10.9571428571429,23.6,3.48,0.7,-8.21428571428571
128,-10.6428571428571,23,3.4,0.0428571428571435,-7.62857142857143
129,-11.3714285714286,21.1,2.8,-0.400000000000001,-7.55714285714286
130,-11.7714285714286,19.2,2.2,-2.9,-7.22857142857143
131,-11.5142857142857,15.6,2.4,-4.74285714285714,-8.91428571428571
132,-12.6142857142857,14.2,2.6,-5.08571428571429,-9.84285714285714
133,-13,13.6666666666667,2.6,-6.74285714285714,-10.1
134,-12.7428571428571,13.1333333333333,3.06666666666667,-6.82857142857143,-10.7
135,-11.1142857142857,12.6,3.53333333333333,-8.17142857142857,-10.4428571428571
136,-11.8428571428571,11.5,4,-8.34285714285714,-11.1285714285714
137,-11.9,10.4,4.8,-7.68571428571429,-10.4428571428571
138,-12.9285714285714,10.6,5.6,-7.27142857142857,-9.35714285714286
139,-12.8142857142857,10.8,8.6,-7.81428571428572,-7.72857142857143
140,-13.0857142857143,11.1,8.9,-8.27142857142857,-8.74285714285714
141,-14.2428571428571,11.4,9.2,-9.08571428571429,-10.5428571428571
142,-14.0857142857143,9.4,8.1,-7.8,-10.4285714285714
143,-13.3285714285714,9,7,-7.71428571428571,-11.9571428571429
144,-14.7428571428571,8.6,6.33333333333333,-6.6,-12.1714285714286
145,-14.9714285714286,9.4,5.66666666666667,-5.27142857142857,-11.1857142857143
146,-14.4,13,5,-5.38571428571429,-10.4714285714286
147,-15.3142857142857,16.8,4.8,-5.52857142857143,-9.51428571428571
