X,Last Price
20.07.2023,455.2
21.07.2023,443.09
24.07.2023,446.12
25.07.2023,456.79
26.07.2023,454.52
27.07.2023,459
28.07.2023,467.5
31.07.2023,467.29
01.08.2023,465.07
02.08.2023,442.69
03.08.2023,445.15
04.08.2023,446.8
07.08.2023,454.165
08.08.2023,446.64
09.08.2023,425.54
10.08.2023,423.88
11.08.2023,408.55
14.08.2023,437.53
15.08.2023,439.4
16.08.2023,434.86
17.08.2023,433.435
18.08.2023,432.99
21.08.2023,469.67
22.08.2023,456.68
23.08.2023,471.16
24.08.2023,471.63
25.08.2023,460.18
28.08.2023,468.35
29.08.2023,487.84
30.08.2023,492.64
31.08.2023,493.55
01.09.2023,485.09
05.09.2023,485.48
06.09.2023,470.61
07.09.2023,462.41
08.09.2023,455.72
11.09.2023,451.78
12.09.2023,448.7
13.09.2023,454.85
14.09.2023,455.81
15.09.2023,439
18.09.2023,439.66
19.09.2023,435.2
20.09.2023,422.39
21.09.2023,410.17
22.09.2023,416.1
25.09.2023,422.22
26.09.2023,419.11
27.09.2023,424.68
28.09.2023,430.89
29.09.2023,434.99
02.10.2023,447.82
03.10.2023,435.17
04.10.2023,440.41
05.10.2023,446.88
06.10.2023,457.62
09.10.2023,452.73
10.10.2023,457.98
11.10.2023,468.06
12.10.2023,469.45
13.10.2023,454.61
16.10.2023,460.95
17.10.2023,439.38
18.10.2023,421.96
19.10.2023,421.01
20.10.2023,413.87
23.10.2023,429.75
24.10.2023,436.63
25.10.2023,417.79
26.10.2023,403.26
27.10.2023,405
30.10.2023,411.61
31.10.2023,407.8
01.11.2023,423.25
02.11.2023,435.06
03.11.2023,450.05
06.11.2023,457.51
07.11.2023,459.55
08.11.2023,465.74
09.11.2023,469.5
10.11.2023,483.35
13.11.2023,486.2
14.11.2023,496.56
15.11.2023,488.88
16.11.2023,494.8
17.11.2023,492.98
20.11.2023,504.09
21.11.2023,499.44
22.11.2023,487.16
24.11.2023,477.76
27.11.2023,482.42
28.11.2023,478.21
29.11.2023,481.4
30.11.2023,467.7
01.12.2023,467.65
04.12.2023,455.1
05.12.2023,465.66
06.12.2023,455.03
07.12.2023,465.96
08.12.2023,475.06
11.12.2023,466.27
12.12.2023,476.57
13.12.2023,480.88
14.12.2023,483.5
15.12.2023,488.9
18.12.2023,500.77
19.12.2023,496.04
20.12.2023,481.11
21.12.2023,489.9
22.12.2023,488.3
26.12.2023,492.79
27.12.2023,494.17
28.12.2023,495.22
29.12.2023,495.22
02.01.2024,481.68
03.01.2024,475.69
04.01.2024,479.98
05.01.2024,490.97
08.01.2024,522.53
09.01.2024,531.4
10.01.2024,543.5
11.01.2024,548.22
12.01.2024,547.1
16.01.2024,563.82
17.01.2024,560.53
18.01.2024,571.07
19.01.2024,594.91
22.01.2024,596.54
23.01.2024,598.73
24.01.2024,613.62
25.01.2024,616.17
26.01.2024,610.31
29.01.2024,624.65
30.01.2024,627.74
31.01.2024,615.27
01.02.2024,630.27
02.02.2024,661.6
05.02.2024,693.32
06.02.2024,682.23
07.02.2024,700.99
08.02.2024,696.41
09.02.2024,721.33
12.02.2024,722.48
13.02.2024,721.28
14.02.2024,739
15.02.2024,726.58
16.02.2024,726.13
20.02.2024,694.52
21.02.2024,674.72
22.02.2024,785.38
23.02.2024,788.17
26.02.2024,790.92
27.02.2024,787.01
28.02.2024,776.63
29.02.2024,791.12
01.03.2024,822.79
04.03.2024,852.37
05.03.2024,859.64
06.03.2024,887
07.03.2024,926.69
08.03.2024,875.28
11.03.2024,857.74
12.03.2024,919.13
13.03.2024,908.88
14.03.2024,879.44
15.03.2024,878.365
18.03.2024,884.55
19.03.2024,893.98
20.03.2024,903.72
21.03.2024,914.35
22.03.2024,942.89
25.03.2024,950.02
26.03.2024,925.61
27.03.2024,902.5
28.03.2024,903.56
01.04.2024,903.63
02.04.2024,894.52
03.04.2024,889.64
04.04.2024,859.05
05.04.2024,880.08
08.04.2024,871.33
09.04.2024,853.54
10.04.2024,870.39
11.04.2024,906.16
12.04.2024,881.86
15.04.2024,860.01
16.04.2024,874.15
17.04.2024,840.35
18.04.2024,846.71
19.04.2024,762
22.04.2024,795.18
23.04.2024,824.23
24.04.2024,796.77
25.04.2024,826.32
26.04.2024,877.35
29.04.2024,877.57
30.04.2024,864.02
01.05.2024,830.41
02.05.2024,858.17
03.05.2024,887.89
06.05.2024,921.4
07.05.2024,905.54
08.05.2024,904.12
09.05.2024,887.47
10.05.2024,898.78
13.05.2024,903.99
14.05.2024,913.56
15.05.2024,946.3
16.05.2024,943.59
17.05.2024,924.79
20.05.2024,947.8
21.05.2024,953.86
22.05.2024,946.3301
23.05.2024,1038
