Warenkategorie,Prozentveränderung
Maschinen,-0.5
Lederw./Schuhe/Textilien/Möbel,-1.3
Stahl / Eisen / andere Metalle,0.6
Chemikalien,0.5
Nahrungsmittel,-0.9
Autos,2.9
Erdöl/Erdgas/Kohle/Strom,-0.3
Rohmaterialien ohne Energie,-0.1
