Zeit,USDCHF Spot Exchange Rate - Price of 1 USD in CHF
06/11/2018 01:00,0.9853
06/11/2018 01:05,0.9853
06/11/2018 01:10,0.9852
06/11/2018 01:15,0.9853
06/11/2018 01:20,0.9853
06/11/2018 01:25,0.9854
06/11/2018 01:30,0.9853
06/11/2018 01:35,0.9853
06/11/2018 01:40,0.9846
06/11/2018 01:45,0.985
06/11/2018 01:50,0.9846
06/11/2018 01:55,0.9847
06/11/2018 02:00,0.9847
06/11/2018 02:05,0.9846
06/11/2018 02:10,0.9847
06/11/2018 02:15,0.9847
06/11/2018 02:20,0.9845
06/11/2018 02:25,0.9845
06/11/2018 02:30,0.9844
06/11/2018 02:35,0.9844
06/11/2018 02:40,0.9842
06/11/2018 02:45,0.984
06/11/2018 02:50,0.9843
06/11/2018 02:55,0.9843
06/11/2018 03:00,0.9844
06/11/2018 03:05,0.9847
06/11/2018 03:10,0.9846
06/11/2018 03:15,0.9848
06/11/2018 03:20,0.9849
06/11/2018 03:25,0.985
06/11/2018 03:30,0.985
06/11/2018 03:35,0.985
06/11/2018 03:40,0.9853
06/11/2018 03:45,0.986
06/11/2018 03:50,0.9859
06/11/2018 03:55,0.9857
06/11/2018 04:00,0.9858
06/11/2018 04:05,0.9856
06/11/2018 04:10,0.9855
06/11/2018 04:15,0.9854
06/11/2018 04:20,0.9855
06/11/2018 04:25,0.9856
06/11/2018 04:30,0.9856
06/11/2018 04:35,0.9857
06/11/2018 04:40,0.9855
06/11/2018 04:45,0.9854
06/11/2018 04:50,0.9854
06/11/2018 04:55,0.9854
06/11/2018 05:00,0.9855
06/11/2018 05:05,0.9855
06/11/2018 05:10,0.9854
06/11/2018 05:15,0.9854
06/11/2018 05:20,0.9852
06/11/2018 05:25,0.9852
06/11/2018 05:30,0.9852
06/11/2018 05:35,0.9852
06/11/2018 05:40,0.9852
06/11/2018 05:45,0.9853
06/11/2018 05:50,0.9852
06/11/2018 05:55,0.9853
06/11/2018 06:00,0.9854
06/11/2018 06:05,0.9855
06/11/2018 06:10,0.9854
06/11/2018 06:15,0.9853
06/11/2018 06:20,0.9855
06/11/2018 06:25,0.9852
06/11/2018 06:30,0.9853
06/11/2018 06:35,0.9854
06/11/2018 06:40,0.9854
06/11/2018 06:45,0.9857
06/11/2018 06:50,0.9857
06/11/2018 06:55,0.9858
06/11/2018 07:00,0.9859
06/11/2018 07:05,0.9856
06/11/2018 07:10,0.9861
06/11/2018 07:15,0.9864
06/11/2018 07:20,0.9869
06/11/2018 07:25,0.9871
06/11/2018 07:30,0.9868
06/11/2018 07:35,0.9868
06/11/2018 07:40,0.987
06/11/2018 07:45,0.9867
06/11/2018 07:50,0.986
06/11/2018 07:55,0.9863
06/11/2018 08:00,0.9863
06/11/2018 08:05,0.9856
06/11/2018 08:10,0.9849
06/11/2018 08:15,0.9848
06/11/2018 08:20,0.9843
06/11/2018 08:25,0.9849
06/11/2018 08:30,0.985
06/11/2018 08:35,0.9854
06/11/2018 08:40,0.9855
06/11/2018 08:45,0.9856
06/11/2018 08:50,0.9858
06/11/2018 08:55,0.986
06/11/2018 09:00,0.9856
06/11/2018 09:05,0.9847
06/11/2018 09:10,0.9854
06/11/2018 09:15,0.9857
06/11/2018 09:20,0.9856
06/11/2018 09:25,0.9852
06/11/2018 09:30,0.9857
06/11/2018 09:35,0.9856
06/11/2018 09:40,0.9857
06/11/2018 09:45,0.9857
06/11/2018 09:50,0.9857
06/11/2018 09:55,0.9862
06/11/2018 10:00,0.9859
06/11/2018 10:05,0.9861
06/11/2018 10:10,0.9861
06/11/2018 10:15,0.9861
06/11/2018 10:20,0.9862
06/11/2018 10:25,0.9862
06/11/2018 10:30,0.9866
06/11/2018 10:35,0.9864
06/11/2018 10:40,0.9863
06/11/2018 10:45,0.9863
06/11/2018 10:50,0.9864
06/11/2018 10:55,0.9864
06/11/2018 11:00,0.9861
06/11/2018 11:05,0.9861
06/11/2018 11:10,0.9862
06/11/2018 11:15,0.9863
06/11/2018 11:20,0.9868
06/11/2018 11:25,0.9869
06/11/2018 11:30,0.987
