X,
Januar 2018,200.52
Februar 2018,171.62
März 2018,174.12
April 2018,200.44
Mai 2018,212.87
Juni 2018,216.74
Juli 2018,215.57
August 2018,217.43
September 2018,226.69
Oktober 2018,217.28
November 2018,227.42
Dezember 2018,221.25
Januar 2019,217.57
Februar 2019,135.24
März 2019,198.67
April 2019,193.49
Mai 2019,213.85
