X,
03.05.2001,1713.5
04.05.2001,1693.25
08.05.2001,1672.5
09.05.2001,1654.25
10.05.2001,1655
11.05.2001,1661.75
16.05.2001,1664
17.05.2001,1677.25
18.05.2001,1706
21.05.2001,1749
22.05.2001,1724.5
23.05.2001,1723.7
24.05.2001,1735.5
25.05.2001,1730.25
29.05.2001,1702.75
30.05.2001,1693.5
31.05.2001,1665.5
01.06.2001,1657.5
04.06.2001,1655
05.06.2001,1676.75
06.06.2001,1672.5
07.06.2001,1658.5
08.06.2001,1631.5
11.06.2001,1622.5
12.06.2001,1603.75
13.06.2001,1602.75
14.06.2001,1614.5
15.06.2001,1592.75
20.06.2001,1600
21.06.2001,1601.75
22.06.2001,1600
25.06.2001,1590.5
26.06.2001,1590
27.06.2001,1600.75
28.06.2001,1574.5
29.06.2001,1556.25
02.07.2001,1575.5
03.07.2001,1573.5
04.07.2001,1560.5
05.07.2001,1549.75
06.07.2001,1554.25
09.07.2001,1551.5
10.07.2001,1557.75
11.07.2001,1558.5
12.07.2001,1543.75
13.07.2001,1542.75
18.07.2001,1554.25
19.07.2001,1523.5
20.07.2001,1527.25
23.07.2001,1492.3
24.07.2001,1490.75
25.07.2001,1493.5
26.07.2001,1491.5
27.07.2001,1483.75
30.07.2001,1479.5
31.07.2001,1483.5
01.08.2001,1484.25
02.08.2001,1492
03.08.2001,1471.5
06.08.2001,1463.5
07.08.2001,1457.5
08.08.2001,1444.25
09.08.2001,1438.5
10.08.2001,1438.75
15.08.2001,1447
16.08.2001,1469.75
17.08.2001,1497
20.08.2001,1492
21.08.2001,1475.25
22.08.2001,1486.25
23.08.2001,1501.5
24.08.2001,1500.25
28.08.2001,1503.75
29.08.2001,1509.25
30.08.2001,1485.25
31.08.2001,1482.5
03.09.2001,1452.5
04.09.2001,1464.5
05.09.2001,1462.75
06.09.2001,1437.25
07.09.2001,1425.75
10.09.2001,1424.5
11.09.2001,1449.5
12.09.2001,1422.5
13.09.2001,1418.25
14.09.2001,1435.25
19.09.2001,1418.5
20.09.2001,1414.75
21.09.2001,1434.25
24.09.2001,1427.5
25.09.2001,1423
26.09.2001,1428.5
27.09.2001,1430
28.09.2001,1417
01.10.2001,1411.75
02.10.2001,1408.5
03.10.2001,1391
04.10.2001,1394.5
05.10.2001,1387
08.10.2001,1394.25
09.10.2001,1387.5
10.10.2001,1381
11.10.2001,1385.5
12.10.2001,1391
17.10.2001,1404.5
18.10.2001,1380.75
19.10.2001,1360.5
22.10.2001,1354.75
23.10.2001,1379.25
24.10.2001,1359.5
25.10.2001,1364.25
26.10.2001,1381.75
29.10.2001,1361.25
30.10.2001,1376
31.10.2001,1356.85
01.11.2001,1346.25
02.11.2001,1337.5
05.11.2001,1342.1
06.11.2001,1344.5
07.11.2001,1321.75
08.11.2001,1342.75
09.11.2001,1393.25
12.11.2001,1411.25
13.11.2001,1466
14.11.2001,1460.5
15.11.2001,1445.75
16.11.2001,1479.25
22.11.2001,1458.5
23.11.2001,1468.5
26.11.2001,1500.5
27.11.2001,1524
28.11.2001,1523.5
29.11.2001,1554
30.11.2001,1556.25
03.12.2001,1525.2
04.12.2001,1517.5
05.12.2001,1503
06.12.2001,1497.5
07.12.2001,1470
10.12.2001,1466.25
11.12.2001,1482.25
12.12.2001,1454
13.12.2001,1450.5
14.12.2001,1451.75
20.12.2001,1461
21.12.2001,1468
27.12.2001,1474
28.12.2001,1464.25
02.01.2002,1424.5
03.01.2002,1430.5
04.01.2002,1448.5
07.01.2002,1518
08.01.2002,1527.5
09.01.2002,1542.75
10.01.2002,1522
11.01.2002,1510.75
17.01.2002,1528.75
18.01.2002,1509.75
21.01.2002,1517
22.01.2002,1516
23.01.2002,1533.5
24.01.2002,1543.5
25.01.2002,1535
28.01.2002,1519
29.01.2002,1512.75
30.01.2002,1511
31.01.2002,1554.25
01.02.2002,1583.5
04.02.2002,1576.75
05.02.2002,1575.5
06.02.2002,1567.5
07.02.2002,1574
08.02.2002,1582
11.02.2002,1566.5
12.02.2002,1572.25
13.02.2002,1606.5
14.02.2002,1599.75
15.02.2002,1583.25
21.02.2002,1550.75
22.02.2002,1527.75
25.02.2002,1532.25
26.02.2002,1530
27.02.2002,1560.25
28.02.2002,1550.75
01.03.2002,1574.25
04.03.2002,1590.25
05.03.2002,1588
06.03.2002,1607
07.03.2002,1607.5
08.03.2002,1609
11.03.2002,1602
12.03.2002,1592
13.03.2002,1589.25
14.03.2002,1600.25
15.03.2002,1607
21.03.2002,1635.5
22.03.2002,1615.75
25.03.2002,1593.25
26.03.2002,1606.25
27.03.2002,1620
28.03.2002,1634.75
02.04.2002,1659
03.04.2002,1608.75
04.04.2002,1595.5
05.04.2002,1573.75
08.04.2002,1564.75
09.04.2002,1576.25
10.04.2002,1562.5
11.04.2002,1570.5
12.04.2002,1551
18.04.2002,1588
19.04.2002,1598
22.04.2002,1620
23.04.2002,1598
24.04.2002,1600
25.04.2002,1597
26.04.2002,1605.25
29.04.2002,1610.75
30.04.2002,1597
01.05.2002,1573.25
02.05.2002,1585.75
03.05.2002,1574.5
07.05.2002,1570
08.05.2002,1591.5
09.05.2002,1595.95
10.05.2002,1601.95
16.05.2002,1602.5
17.05.2002,1579.25
20.05.2002,1580.5
21.05.2002,1585.25
22.05.2002,1584
23.05.2002,1601.25
24.05.2002,1607.75
27.05.2002,1611.5
28.05.2002,1639.75
29.05.2002,1632.75
30.05.2002,1630.25
31.05.2002,1645.25
05.06.2002,1682
06.06.2002,1691
07.06.2002,1676.75
10.06.2002,1677
11.06.2002,1657
12.06.2002,1652.5
13.06.2002,1652.5
14.06.2002,1648.25
20.06.2002,1631.75
21.06.2002,1624
24.06.2002,1618.5
25.06.2002,1639.75
26.06.2002,1642.25
27.06.2002,1646.25
28.06.2002,1673.75
01.07.2002,1669
02.07.2002,1649.5
03.07.2002,1639.25
04.07.2002,1630
05.07.2002,1649.25
08.07.2002,1636
09.07.2002,1646
10.07.2002,1642.75
11.07.2002,1623.5
12.07.2002,1618.3
18.07.2002,1607.25
19.07.2002,1577.75
22.07.2002,1557
23.07.2002,1530.5
24.07.2002,1511
25.07.2002,1521.5
26.07.2002,1516.25
29.07.2002,1526.5
30.07.2002,1509.5
31.07.2002,1501.5
01.08.2002,1492.75
02.08.2002,1486.25
05.08.2002,1460.75
06.08.2002,1482
07.08.2002,1473.75
08.08.2002,1481.75
09.08.2002,1484.25
12.08.2002,1472.25
13.08.2002,1481
14.08.2002,1460.5
15.08.2002,1502.75
16.08.2002,1478.5
22.08.2002,1497.25
23.08.2002,1495.25
27.08.2002,1510.25
28.08.2002,1506.75
29.08.2002,1497.75
30.08.2002,1497.75
02.09.2002,1501.75
03.09.2002,1473.5
04.09.2002,1479.5
05.09.2002,1468
06.09.2002,1475.25
09.09.2002,1495.75
10.09.2002,1528
11.09.2002,1523.25
12.09.2002,1519
13.09.2002,1509
19.09.2002,1468.75
20.09.2002,1477.25
23.09.2002,1467
24.09.2002,1458.75
25.09.2002,1466
26.09.2002,1472.5
27.09.2002,1455.5
30.09.2002,1442.25
01.10.2002,1446.75
02.10.2002,1467.25
03.10.2002,1455.25
04.10.2002,1439.5
07.10.2002,1438
08.10.2002,1441.25
09.10.2002,1443
10.10.2002,1453.25
11.10.2002,1475.75
17.10.2002,1512.25
18.10.2002,1500.75
21.10.2002,1524
22.10.2002,1515
23.10.2002,1505.75
24.10.2002,1528.5
25.10.2002,1537.75
28.10.2002,1545.5
29.10.2002,1525.75
30.10.2002,1528.5
31.10.2002,1558
01.11.2002,1573.25
04.11.2002,1583
05.11.2002,1573.5
06.11.2002,1582.75
07.11.2002,1556.75
08.11.2002,1555.75
11.11.2002,1568.95
12.11.2002,1566.5
13.11.2002,1565.25
14.11.2002,1552.75
15.11.2002,1562.75
21.11.2002,1613.25
22.11.2002,1607
25.11.2002,1607.25
26.11.2002,1591.5
27.11.2002,1618.5
28.11.2002,1623.5
29.11.2002,1649
02.12.2002,1646.5
03.12.2002,1647.25
04.12.2002,1643
05.12.2002,1621.25
06.12.2002,1608.75
09.12.2002,1591.75
10.12.2002,1604.25
11.12.2002,1607.5
12.12.2002,1603.25
13.12.2002,1584.75
19.12.2002,1574.75
20.12.2002,1573.25
23.12.2002,1581.75
24.12.2002,1580.75
30.12.2002,1545.25
31.12.2002,1545.25
02.01.2003,1575.5
03.01.2003,1596.75
06.01.2003,1613
07.01.2003,1605.5
08.01.2003,1621
09.01.2003,1639
10.01.2003,1619.75
13.01.2003,1638
14.01.2003,1656
15.01.2003,1665.75
16.01.2003,1672.75
17.01.2003,1657.25
20.01.2003,1679.75
21.01.2003,1677.5
22.01.2003,1685.5
23.01.2003,1688.5
24.01.2003,1681
27.01.2003,1663.25
28.01.2003,1657.75
29.01.2003,1671.5
30.01.2003,1710.25
31.01.2003,1723.5
03.02.2003,1728.45
04.02.2003,1699
05.02.2003,1699.75
06.02.2003,1673
07.02.2003,1666
10.02.2003,1700.5
11.02.2003,1692.25
12.02.2003,1677.75
13.02.2003,1641.25
14.02.2003,1646.75
20.02.2003,1653.25
21.02.2003,1696.75
24.02.2003,1719.5
25.02.2003,1707.5
26.02.2003,1734.5
27.02.2003,1726.75
28.02.2003,1700.75
03.03.2003,1711.25
04.03.2003,1705.25
05.03.2003,1665
06.03.2003,1661.5
07.03.2003,1664
10.03.2003,1653.25
11.03.2003,1667.75
12.03.2003,1655.5
13.03.2003,1636
14.03.2003,1643.5
20.03.2003,1673.25
21.03.2003,1693
24.03.2003,1672.25
25.03.2003,1676
26.03.2003,1648.5
27.03.2003,1606.75
28.03.2003,1592.75
31.03.2003,1575.5
01.04.2003,1588
02.04.2003,1573.25
03.04.2003,1560
04.04.2003,1570.75
07.04.2003,1598.75
08.04.2003,1584.25
09.04.2003,1580.75
10.04.2003,1566.5
11.04.2003,1588
17.04.2003,1617.5
22.04.2003,1588.25
23.04.2003,1595.5
24.04.2003,1574.5
25.04.2003,1570.5
28.04.2003,1576.5
29.04.2003,1593.75
30.04.2003,1598.75
01.05.2003,1601.75
02.05.2003,1576.25
06.05.2003,1581.75
07.05.2003,1604.75
08.05.2003,1617.5
09.05.2003,1613.5
12.05.2003,1627.25
13.05.2003,1663.75
14.05.2003,1665
15.05.2003,1672.5
16.05.2003,1663.75
22.05.2003,1684
23.05.2003,1673
27.05.2003,1703.5
28.05.2003,1681.5
29.05.2003,1681.25
30.05.2003,1700.25
02.06.2003,1725.5
03.06.2003,1714.5
04.06.2003,1702.25
05.06.2003,1708.5
06.06.2003,1706.75
09.06.2003,1684.05
10.06.2003,1675.25
11.06.2003,1676.25
12.06.2003,1683.5
13.06.2003,1666
19.06.2003,1711
20.06.2003,1697.25
23.06.2003,1682
24.06.2003,1680.5
25.06.2003,1668.25
26.06.2003,1658
27.06.2003,1670.75
30.06.2003,1650.75
01.07.2003,1640.5
02.07.2003,1668.5
03.07.2003,1648.75
04.07.2003,1657.75
07.07.2003,1680.75
08.07.2003,1690
09.07.2003,1697
10.07.2003,1707
11.07.2003,1705
17.07.2003,1721.5
18.07.2003,1714.5
21.07.2003,1695.5
22.07.2003,1692.25
23.07.2003,1700
24.07.2003,1731.75
25.07.2003,1747.5
28.07.2003,1764
29.07.2003,1763.25
30.07.2003,1754
31.07.2003,1786
01.08.2003,1787
04.08.2003,1767.5
05.08.2003,1772.5
06.08.2003,1762.25
07.08.2003,1786.5
08.08.2003,1754.5
11.08.2003,1762
12.08.2003,1732.5
13.08.2003,1728.5
14.08.2003,1746
15.08.2003,1727.5
19.08.2003,1756.25
20.08.2003,1761.5
21.08.2003,1749.75
22.08.2003,1764
26.08.2003,1746.75
27.08.2003,1737.75
28.08.2003,1724
29.08.2003,1759.75
01.09.2003,1766.75
02.09.2003,1778
03.09.2003,1801.5
04.09.2003,1785
05.09.2003,1811.75
08.09.2003,1800
09.09.2003,1779.25
10.09.2003,1759.25
11.09.2003,1800
12.09.2003,1779.5
16.09.2003,1777.5
17.09.2003,1790.5
18.09.2003,1801.25
19.09.2003,1812.75
22.09.2003,1815.25
23.09.2003,1803.25
24.09.2003,1814.25
25.09.2003,1806.5
26.09.2003,1790.5
29.09.2003,1799
30.09.2003,1785.25
01.10.2003,1789
02.10.2003,1812.75
03.10.2003,1824.5
06.10.2003,1817.5
07.10.2003,1839.75
08.10.2003,1854.5
09.10.2003,1859.5
10.10.2003,1868
14.10.2003,1911
15.10.2003,1956.25
16.10.2003,1956.25
17.10.2003,1949
20.10.2003,1989.75
21.10.2003,1980.75
22.10.2003,2004
23.10.2003,1976.75
24.10.2003,1955
27.10.2003,1984.75
28.10.2003,1981.5
29.10.2003,2014.75
30.10.2003,2051.75
31.10.2003,2065
03.11.2003,2043
04.11.2003,2093.75
05.11.2003,2108.5
06.11.2003,2087.5
07.11.2003,2093.5
10.11.2003,2047.25
11.11.2003,2076.25
12.11.2003,2109
13.11.2003,2090
14.11.2003,2099
18.11.2003,2053.5
19.11.2003,2032.5
20.11.2003,1969.25
21.11.2003,1973
24.11.2003,2002.5
25.11.2003,1988.5
26.11.2003,1997
27.11.2003,2025.5
28.11.2003,2078.5
01.12.2003,2106
02.12.2003,2135.5
03.12.2003,2169.25
04.12.2003,2133.25
05.12.2003,2137
08.12.2003,2146
09.12.2003,2155.5
10.12.2003,2149
11.12.2003,2147.5
12.12.2003,2165.5
18.12.2003,2225
19.12.2003,2239
22.12.2003,2220.75
23.12.2003,2239
24.12.2003,2242
29.12.2003,2286
30.12.2003,2282.5
31.12.2003,2309
02.01.2004,2357.5
05.01.2004,2384.75
06.01.2004,2348.5
07.01.2004,2343.5
08.01.2004,2410.25
09.01.2004,2423.25
12.01.2004,2378.25
13.01.2004,2377
14.01.2004,2405.75
15.01.2004,2366.5
16.01.2004,2394.5
20.01.2004,2455
21.01.2004,2453.5
22.01.2004,2464.5
23.01.2004,2468.25
26.01.2004,2455
27.01.2004,2447.75
28.01.2004,2476.5
29.01.2004,2469.5
30.01.2004,2516
02.02.2004,2515
03.02.2004,2566
04.02.2004,2575.25
05.02.2004,2571
06.02.2004,2590
09.02.2004,2594.5
10.02.2004,2585.5
11.02.2004,2641
12.02.2004,2733.5
13.02.2004,2716
17.02.2004,2855
18.02.2004,2819
19.02.2004,2898
20.02.2004,2900
23.02.2004,2893
24.02.2004,2922
25.02.2004,2989
26.02.2004,2958.5
27.02.2004,2971
01.03.2004,3069.5
02.03.2004,3047.5
03.03.2004,2892
04.03.2004,2931
05.03.2004,2971.5
08.03.2004,2899
09.03.2004,2813
10.03.2004,2861
11.03.2004,2962
12.03.2004,2931
16.03.2004,3056
17.03.2004,3006
18.03.2004,3055
19.03.2004,3070.5
22.03.2004,3028
23.03.2004,3003
24.03.2004,3047
25.03.2004,2988
26.03.2004,3048.5
29.03.2004,3067
30.03.2004,3045
31.03.2004,3073
01.04.2004,3100
02.04.2004,3050.5
05.04.2004,2951
06.04.2004,2997
07.04.2004,2971
08.04.2004,2960
13.04.2004,2908
14.04.2004,2947
15.04.2004,2942.5
16.04.2004,3049
20.04.2004,2960
21.04.2004,2783
22.04.2004,2766
23.04.2004,2774
26.04.2004,2790
27.04.2004,2803
28.04.2004,2657
29.04.2004,2721
30.04.2004,2752
04.05.2004,2806
05.05.2004,2810
06.05.2004,2816
07.05.2004,2693
10.05.2004,2633
11.05.2004,2701
12.05.2004,2742
13.05.2004,2704
14.05.2004,2697
18.05.2004,2591
19.05.2004,2677
20.05.2004,2670
21.05.2004,2743
24.05.2004,2775
25.05.2004,2762
26.05.2004,2763
27.05.2004,2836
28.05.2004,2833
01.06.2004,2872
02.06.2004,2787
03.06.2004,2791
04.06.2004,2750
07.06.2004,2819
08.06.2004,2760
09.06.2004,2637
10.06.2004,2618
11.06.2004,2601
15.06.2004,2650
16.06.2004,2623.5
17.06.2004,2667.5
18.06.2004,2650.5
21.06.2004,2662
22.06.2004,2591.5
23.06.2004,2634
24.06.2004,2736
25.06.2004,2706.5
28.06.2004,2712
29.06.2004,2631
30.06.2004,2704
01.07.2004,2743.5
02.07.2004,2734.5
05.07.2004,2792
06.07.2004,2720.5
07.07.2004,2795
08.07.2004,2785
09.07.2004,2841
12.07.2004,2823.5
13.07.2004,2824.5
14.07.2004,2845
15.07.2004,2876
16.07.2004,2909
20.07.2004,2839
21.07.2004,2812.5
22.07.2004,2849
23.07.2004,2776
26.07.2004,2781
27.07.2004,2739
28.07.2004,2821
29.07.2004,2871
30.07.2004,2910
02.08.2004,2913
03.08.2004,2893
04.08.2004,2882
05.08.2004,2863
06.08.2004,2854
09.08.2004,2809
10.08.2004,2826
11.08.2004,2854
12.08.2004,2849
13.08.2004,2938.5
17.08.2004,2863
18.08.2004,2802
19.08.2004,2843
20.08.2004,2812
23.08.2004,2759
24.08.2004,2782.5
25.08.2004,2755
26.08.2004,2784.5
27.08.2004,2813
31.08.2004,2839
01.09.2004,2827
02.09.2004,2783
03.09.2004,2750
06.09.2004,2773
07.09.2004,2808.5
08.09.2004,2786.5
09.09.2004,2803
10.09.2004,2852
14.09.2004,2805
15.09.2004,2803.5
16.09.2004,2858
17.09.2004,2853
20.09.2004,2894
21.09.2004,2948
22.09.2004,2966
23.09.2004,2989
24.09.2004,2970
27.09.2004,3023
28.09.2004,2996
29.09.2004,3055
30.09.2004,3077.5
01.10.2004,3070
04.10.2004,3054.5
05.10.2004,3052
06.10.2004,3125
07.10.2004,3131.5
08.10.2004,3241
11.10.2004,3241
12.10.2004,3197
13.10.2004,2888
14.10.2004,2822
15.10.2004,2923
19.10.2004,2870.5
20.10.2004,2859.5
21.10.2004,2890
22.10.2004,2873
25.10.2004,2814
26.10.2004,2858
27.10.2004,2871
28.10.2004,2830
29.10.2004,2973
01.11.2004,2917
02.11.2004,2938
03.11.2004,2966
04.11.2004,3007
05.11.2004,3052
08.11.2004,3048.5
09.11.2004,3077
10.11.2004,3062
11.11.2004,3090.5
12.11.2004,3125
16.11.2004,3031
17.11.2004,3113
18.11.2004,3169
19.11.2004,3162
22.11.2004,3129
23.11.2004,3160
24.11.2004,3198
25.11.2004,3215
26.11.2004,3180
29.11.2004,3217
30.11.2004,3198
01.12.2004,3217
02.12.2004,3085
03.12.2004,3093
06.12.2004,3081
07.12.2004,3039.5
08.12.2004,2949
09.12.2004,2967
10.12.2004,3011
14.12.2004,3051
15.12.2004,3093.5
16.12.2004,3109
17.12.2004,3121
20.12.2004,3169
21.12.2004,3184
22.12.2004,3158
23.12.2004,3151
24.12.2004,3186.5
29.12.2004,3219
30.12.2004,3231
31.12.2004,3244
04.01.2005,3003
05.01.2005,3082
06.01.2005,3072.5
07.01.2005,3110
10.01.2005,3093
11.01.2005,3164
12.01.2005,3153
13.01.2005,3127
14.01.2005,3139
18.01.2005,3098
19.01.2005,3127
20.01.2005,3134
21.01.2005,3178
24.01.2005,3170
25.01.2005,3156
26.01.2005,3180
27.01.2005,3159
28.01.2005,3200
31.01.2005,3202
01.02.2005,3159
02.02.2005,3124
03.02.2005,3130
04.02.2005,3092
07.02.2005,3122.5
08.02.2005,3136.5
09.02.2005,3128
10.02.2005,3187
11.02.2005,3200
15.02.2005,3222
16.02.2005,3186
17.02.2005,3239
18.02.2005,3310
21.02.2005,3294
22.02.2005,3334
23.02.2005,3318
24.02.2005,3289
25.02.2005,3302
28.02.2005,3341
01.03.2005,3306
02.03.2005,3313
03.03.2005,3326
04.03.2005,3361
07.03.2005,3366
08.03.2005,3390
09.03.2005,3390
10.03.2005,3362
11.03.2005,3354
15.03.2005,3315.5
16.03.2005,3381
17.03.2005,3356
18.03.2005,3387
21.03.2005,3349
22.03.2005,3380
23.03.2005,3317
24.03.2005,3309
29.03.2005,3348
30.03.2005,3383
31.03.2005,3422
01.04.2005,3357
04.04.2005,3371
05.04.2005,3358
06.04.2005,3414
07.04.2005,3425
08.04.2005,3431
11.04.2005,3461.5
12.04.2005,3419
13.04.2005,3346
14.04.2005,3298
15.04.2005,3351
19.04.2005,3340
20.04.2005,3419
21.04.2005,3362
22.04.2005,3392.5
25.04.2005,3366
26.04.2005,3325
27.04.2005,3278
28.04.2005,3300
29.04.2005,3339
03.05.2005,3310
