X,2018,2024
USA,8.3,6.5
EU,9.5,10.2
Deutschland,5.1,3.6
Schweiz,0.1,0.2
Russland,2.6,5.2
Hongkong,0.3,0.6
Japan,8.5,5.9
Südkorea,9.5,6.6
Indien,0.9,0.9
Taiwan,8.2,7.4
Lateinamerika,6.8,9.4
Brasilien,2.9,4.6
Afrika,4.8,4.7
Ozeanien,5.8,6.8
