Zeitstempel,Messwert; Gefahrenstufe:,2,3,4,5
2024-08-08 00:00,395.804,396.4,396.6,396.8,397.05
2024-08-08 01:00,395.801,396.4,396.6,396.8,397.05
2024-08-08 02:00,395.799,396.4,396.6,396.8,397.05
2024-08-08 03:00,395.8,396.4,396.6,396.8,397.05
2024-08-08 04:00,395.798,396.4,396.6,396.8,397.05
2024-08-08 05:00,395.799,396.4,396.6,396.8,397.05
2024-08-08 06:00,395.798,396.4,396.6,396.8,397.05
2024-08-08 07:00,395.798,396.4,396.6,396.8,397.05
2024-08-08 08:00,395.797,396.4,396.6,396.8,397.05
2024-08-08 09:00,395.79,396.4,396.6,396.8,397.05
2024-08-08 10:00,395.789,396.4,396.6,396.8,397.05
2024-08-08 11:00,395.789,396.4,396.6,396.8,397.05
2024-08-08 12:00,395.786,396.4,396.6,396.8,397.05
2024-08-08 13:00,395.783,396.4,396.6,396.8,397.05
2024-08-08 14:00,395.781,396.4,396.6,396.8,397.05
2024-08-08 15:00,395.779,396.4,396.6,396.8,397.05
2024-08-08 16:00,395.775,396.4,396.6,396.8,397.05
2024-08-08 17:00,395.772,396.4,396.6,396.8,397.05
2024-08-08 18:00,395.771,396.4,396.6,396.8,397.05
2024-08-08 19:00,395.767,396.4,396.6,396.8,397.05
2024-08-08 20:00,395.767,396.4,396.6,396.8,397.05
2024-08-08 21:00,395.767,396.4,396.6,396.8,397.05
2024-08-08 22:00,395.769,396.4,396.6,396.8,397.05
2024-08-08 23:00,395.768,396.4,396.6,396.8,397.05
2024-08-09 00:00,395.769,396.4,396.6,396.8,397.05
2024-08-09 01:00,395.769,396.4,396.6,396.8,397.05
2024-08-09 02:00,395.767,396.4,396.6,396.8,397.05
2024-08-09 03:00,395.763,396.4,396.6,396.8,397.05
2024-08-09 04:00,395.763,396.4,396.6,396.8,397.05
2024-08-09 05:00,395.762,396.4,396.6,396.8,397.05
2024-08-09 06:00,395.763,396.4,396.6,396.8,397.05
2024-08-09 07:00,395.761,396.4,396.6,396.8,397.05
2024-08-09 08:00,395.757,396.4,396.6,396.8,397.05
2024-08-09 09:00,395.751,396.4,396.6,396.8,397.05
2024-08-09 10:00,395.743,396.4,396.6,396.8,397.05
2024-08-09 11:00,395.744,396.4,396.6,396.8,397.05
2024-08-09 12:00,395.743,396.4,396.6,396.8,397.05
2024-08-09 13:00,395.741,396.4,396.6,396.8,397.05
2024-08-09 14:00,395.739,396.4,396.6,396.8,397.05
2024-08-09 15:00,395.738,396.4,396.6,396.8,397.05
2024-08-09 16:00,395.738,396.4,396.6,396.8,397.05
2024-08-09 17:00,395.736,396.4,396.6,396.8,397.05
2024-08-09 18:00,395.735,396.4,396.6,396.8,397.05
2024-08-09 19:00,395.733,396.4,396.6,396.8,397.05
2024-08-09 20:00,395.731,396.4,396.6,396.8,397.05
2024-08-09 21:00,395.732,396.4,396.6,396.8,397.05
2024-08-09 22:00,395.732,396.4,396.6,396.8,397.05
2024-08-09 23:00,395.731,396.4,396.6,396.8,397.05
2024-08-10 00:00,395.731,396.4,396.6,396.8,397.05
2024-08-10 01:00,395.73,396.4,396.6,396.8,397.05
2024-08-10 02:00,395.729,396.4,396.6,396.8,397.05
2024-08-10 03:00,395.728,396.4,396.6,396.8,397.05
2024-08-10 04:00,395.726,396.4,396.6,396.8,397.05
2024-08-10 05:00,395.726,396.4,396.6,396.8,397.05
2024-08-10 06:00,395.725,396.4,396.6,396.8,397.05
2024-08-10 07:00,395.724,396.4,396.6,396.8,397.05
2024-08-10 08:00,395.719,396.4,396.6,396.8,397.05
2024-08-10 09:00,395.711,396.4,396.6,396.8,397.05
2024-08-10 10:00,395.704,396.4,396.6,396.8,397.05
2024-08-10 11:00,395.703,396.4,396.6,396.8,397.05
2024-08-10 12:00,395.701,396.4,396.6,396.8,397.05
2024-08-10 13:00,395.702,396.4,396.6,396.8,397.05
2024-08-10 14:00,395.698,396.4,396.6,396.8,397.05
