X,
1896,0
1900,2.2
1904,0.9
1908,1.8
1912,2
1920,2.5
1924,4.4
1928,9.6
1932,9.5
1936,8.4
1948,9.5
1952,10.5
1956,11.3
1960,11.4
1964,13.2
1968,14.2
1972,14.8
1976,20.7
1980,21.5
1984,22.9
1988,26.1
1992,28.9
1996,34
2000,38.2
2004,40.7
2008,42.2
2012,44.2
2016,45
2020,47.8
2024,50
