X,
BS,4675
GE,4636
TI,4497
BL,4263
NE,4217
VD,4083
JU,4070
BE,3843
SO,3745
SH,3602
ZH,3592
FR,3508
VS,3508
AG,3422
TG,3269
SG,3264
GR,3262
GL,3239
LU,3191
SZ,3191
NW,3147
AR,3137
ZG,3064
OW,3021
UR,2790
AI,2559
CH,3713
