X,
Islam,61.3
Buddhismus,19.8
Christentum,9.2
Hinduismus,6.3
"Konfuzianismus, Taoismus und andere chinesische Religionen",1.3
Unbekannt,1
Keine Religion,0.7
Andere Religion,0.4
