,id,chart_type,title,subtitle,notes,complex,x_axis_type,y_axis_type,x_axis_min,x_axis_max,y_axis_min,y_axis_max,chart_type_id
29,016522fbb9ab3e9ea5d2bc256e6f5621,Bar,Die zehn erfolgreichsten Schwinger: 80 und mehr Kränze,Anzahl Kränze,Daten: Teilnehmer am Eidgenössischen Schwingfest 2016,False,categorical,numeric,,,87.0,142.0,0
30,016934e7c13b1b546fdea80efd074e02,Bar,Manchen Ländern droht der «Bevölkerungskollaps»,"Entwicklung der Zahl der Einwohner, 2100 gegenüber 2023, in %; Prognosen auf Basis von Geburtenraten und Lebenserwartung der Gegenwart",,False,categorical,numeric,,,-55.0,109.0,0
31,016934e7c13b1b546fdea80efd08584a,Bar,Massiver Effekt der niedrigeren Geburtenraten,"Zusätzliche Personen, die bei gleichbleibender Geburtenrate im Zeitraum 1960 bis 2021 geboren worden wären, in % der Bevölkerungszahl im Jahr 2021",,False,categorical,numeric,,,15.0,157.0,0
32,016934e7c13b1b546fdea80efd1faae2,Bar,Only a small fraction of the migrants ordered to leave France actually do so,,"* Obligation de quitter le territoire français – an expulsion order<br><br>Source: <a href=""https://www.ccomptes.fr"">Court of Accounts</a>",True,categorical,numeric,,,500.0,58700.0,0
33,016934e7c13b1b546fdea80efd26a43b,Bar,Schweiz sticht heraus,"Schuldenquote des Staatssektors gemäss «Maastricht»-Definition der EU, 2023, in Prozent der jährlichen Wirtschaftsleistung (BIP)",,False,categorical,numeric,,,26.9,141.4,0
34,016934e7c13b1b546fdea80efd365b3b,StackedBar,Die Discounter legen bei Bio zu,Marktanteile der Verkaufskanäle gemessen am gesamten Bio-Umsatz,,True,numeric,numeric,2018,2022,2.1,89.2,2
35,016934e7c13b1b546fdea80efd7b5963,Bar,"Mehrwertsteuer müsste mit der Mitte-Initiative auf 9,6 Prozent erhöht werden ",Normalsatz der Mehrwertsteuer (MWSt) in % ,Nicht abgebildet ist die befristete Erhöhung für die IV von 2011 bis 2017. ,False,numeric,numeric,1995,2030,6.5,9.6,0
36,016934e7c13b1b546fdea80efd96eba5,Bar,An Unterbrüchen von Unterseekabeln ist meist der Mensch schuld,"Ursachen von Störungen als Anteil an der Zahl der Vorfälle, in %",,False,categorical,numeric,,,6.0,38.0,0
37,016b459adf53c4e44c03cc7e700dd04b,Dotplot,"J. Safra Sarasin, Julius Bär und Vontobel mit dem grössten Übergewicht","Aktienquote für eine ausgewogene Franken-Strategie, in %",,True,categorical,numeric,,,44.0,52.0,3
38,016b459adf53c4e44c03cc7e7078bb83,Line,CO₂-Emissionen aus Brennstoffen nehmen ab,"Pro Tonne, Indexiert (1990=100)",,False,numeric,numeric,1991,20015,30.5,90.0,1
39,016b459adf53c4e44c03cc7e7086959b,Dotplot,Hohe Preisdynamik in deutschen Städten,"Inflationsbereinigte Veränderung der Preise für Wohnimmobilien, in %",,True,categorical,numeric,,,-6.1,10.2,3
40,016b459adf53c4e44c03cc7e709845d7,Bar,Bloss keine Machtpolitik,Meinung der Bundesbürger zum Einsatz der wirtschaftlichen Stärke Deutschlands in der Aussenpolitik,,False,categorical,numeric,,,4.0,62.0,0
41,016b459adf53c4e44c03cc7e70dbd26c,StackedBar,Die Zürcher werden immer sportlicher,"Sportaktivität, in Prozent",Wohnbevölkerung im Alter ab 15 Jahren; Anzahl Befragte: 2020: 2864; 2014: 2796; 2008: 3127; 2003: 2311; ,True,numeric,numeric,2003,2020,5.0,52.0,2
42,016b459adf53c4e44c03cc7e70ef0c6a,Line,Gewöhnung an die Maskenpflicht: Die regionalen Unterschiede bei Supermarkt-Besuchen werden kleiner,"Anzahl Kartentransaktionen in Lebensmittelgeschäften, Periode vor Maskenpflicht = 100",,True,categorical,numeric,17.08.2020,27.09.2020,93.59356,103.0788,1
43,0184a9d83b63d38b3034a63ffa296f09,Line,Dollar legt leicht zu,Kurs gemessen in Franken,,False,categorical,numeric,06/11/2018 01:00,06/12/2018 08:30,0.984,0.9882,1
44,01ba465f792500066ff5d6bee1a8fde0,Dotplot,Top 10 kurze Standzeiten Schweizer Gebrauchtwagen,1. Semester 2019 nach Modellen,,False,categorical,numeric,,,8.0,19.0,3
45,01ba465f792500066ff5d6bee1dc9387,Bar,Manchester United hat bisher am meisten ausgegeben für neue Spieler,Transferausgaben der Top 6 im Sommer 2019 (in Mio Euro),,False,categorical,numeric,,,1.9,159.0,0
