,company,model_series,created,URL
0,Meta,meta-llama/llama-4-maverick:free,05.04.2025,https://openrouter.ai/meta-llama/llama-4-maverick:free
1,google,google/gemini-2.5-flash-preview-09-2025,25.09.2025,https://statics.teams.cdn.office.net/evergreen-assets/safelinks/2/atp-safelinks.html
2,OpenAI,openai/o4-mini,16.04.2025,https://openrouter.ai/openai/o4-mini
3,SentenceTransformers,sentence-transformers/all-MiniLM-L6-v2,30.08.2021,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
